Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
k12 (1092 cells),k14 (398 cells),885125.2658029966,23.74221890867579,187,4733.290191459875,0.1269637374795497
k12 (1092 cells),k12 (1092 cells),868931.6662456922,22.535386662581175,179,4854.366850534593,0.12589601487475516
k12 (1092 cells),k15 (728 cells),865661.763437469,16.397164544376157,140,6183.298310267636,0.11712260388840112
k14 (398 cells),k12 (1092 cells),820118.3983820763,23.41557247392542,184,4457.1652085982405,0.1272585460539425
k14 (398 cells),k14 (398 cells),815687.5308169407,24.474765905370827,192,4248.372556338233,0.12747273909047305
k14 (398 cells),k15 (728 cells),815367.7427045534,16.701445883504864,141,5782.749948259244,0.11844997080499903
k15 (728 cells),k14 (398 cells),770191.4959396253,18.515102307754812,145,5311.665489238795,0.12769036074313664
k15 (728 cells),k12 (1092 cells),768633.8149208764,17.011045374925473,135,5693.583814228714,0.12600774351796648
k15 (728 cells),k15 (728 cells),752779.4172138997,12.868584330704419,106,7101.692615225468,0.12140173896890961
