partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source
IL1A,IL1R1,,,InnateDB-All,uniprot
IL1A,IL1R2,,,InnateDB-All,uniprot
IL1B,IL1R1,,,InnateDB-All,uniprot
IL1B,IL1R2,,,InnateDB-All,uniprot
IL1RN,IL1R1,,,InnateDB-All,uniprot
IL18,IL18R1,,,InnateDB-All,uniprot
IL18,IL18RAP,,,InnateDB-All,uniprot
IL2,IL2RA,,,InnateDB-All,uniprot
IL2,IL2RB,,,InnateDB-All,uniprot
IL2,IL2RG,,,InnateDB-All,uniprot
IL4,IL4R,,,InnateDB-All,uniprot
IL4,IL2RG,,,InnateDB-All,uniprot
IL4,IL13RA1,,,InnateDB-All,uniprot
IL7,IL7R,,,InnateDB-All,uniprot
IL7,IL2RG,,,InnateDB-All,uniprot
IL9,IL9R,,,InnateDB-All,uniprot
IL9,IL2RG,,,InnateDB-All,uniprot
IL13,IL13RA1,,,InnateDB-All,uniprot
IL13,IL13RA2,,,InnateDB-All,uniprot
IL13,IL4R,,,InnateDB-All,uniprot
IL13,IL2RG,,,InnateDB-All,uniprot
IL15,IL15RA,,,InnateDB-All,uniprot
IL15,IL2RB,,,InnateDB-All,uniprot
IL15,IL2RG,,,InnateDB-All,uniprot
IL3,IL3RA,,,InnateDB-All,uniprot
IL3,CSF2RB,,,InnateDB-All,uniprot
IL5,IL5RA,,,InnateDB-All,uniprot
IL5,CSF2RB,,,InnateDB-All,uniprot
CSF2,CSF2RB,,,InnateDB-All,uniprot
CSF2,CSF2RA,,,InnateDB-All,uniprot
IL6,IL6R,,,InnateDB-All,uniprot
IL6,IL6ST,,,InnateDB-All,uniprot
IL11,IL6ST,,,InnateDB-All,uniprot
IL11,IL11RA,,,InnateDB-All,uniprot
CSF3,CSF3R,,,InnateDB-All,uniprot
IL12A,IL12RB1,,,InnateDB-All,uniprot
IL12B,IL12RB1,,,InnateDB-All,uniprot
LIF,LIFR,,,InnateDB-All,uniprot
LIF,IL6ST,,,InnateDB-All,uniprot
OSM,OSMR,,,InnateDB-All,uniprot
OSM,IL6ST,,,InnateDB-All,uniprot
IL10,IL10RA,,,InnateDB-All,uniprot
IL20,IL20RA,,,InnateDB-All,uniprot
IL20,IL20RB,,,InnateDB-All,uniprot
IL16,CD4,,,InnateDB-All,uniprot
IL17A,IL17RA,,,InnateDB-All,uniprot
IFNA1,LIFR,,,InnateDB-All,uniprot
IFNB1,LIFR,,,InnateDB-All,uniprot
IFNG,IFNGR1,,,InnateDB-All,uniprot
CD40LG,CD40,,,InnateDB-All,uniprot
LTB,LTBR,,,InnateDB-All,uniprot
TNF,TNFRSF1A,,,InnateDB-All,uniprot
TNF,TNFRSF1B,,,InnateDB-All,uniprot
TNFRSF14,BTLA,,,InnateDB-All,uniprot
CADM1,CRTAM,,,InnateDB-All,uniprot
CCL1,CCR8,,,InnateDB-All,uniprot
CCL11,CCR3,,,InnateDB-All,uniprot
CCL13,CCR2,,,InnateDB-All,uniprot
CCL13,CCR3,,,InnateDB-All,uniprot
CCL14,CCR1,,,InnateDB-All,uniprot
CCL15,CCR1,,,InnateDB-All,uniprot
CCL15,CCR3,,,InnateDB-All,uniprot
CCL16,CCR1,,,InnateDB-All,uniprot
CCL17,CCR4,,,InnateDB-All,uniprot
CCL18,GPER1,,,InnateDB-All,uniprot
CCL18,CCR8,,,InnateDB-All,uniprot
CCL19,CCR7,,,InnateDB-All,uniprot
CCL2,CCR2,,,InnateDB-All,uniprot
CCL20,CCR6,,,InnateDB-All,uniprot
CCL21,CCR7,,,InnateDB-All,uniprot
CCL22,CCR4,,,InnateDB-All,uniprot
CCL23,CCR1,,,InnateDB-All,uniprot
CCL24,CCR3,,,InnateDB-All,uniprot
CCL25,CCR9,,,InnateDB-All,uniprot
CCL26,CCR3,,,InnateDB-All,uniprot
CCL27,CCR10,,,InnateDB-All,uniprot
CCL3,CCR1,,,InnateDB-All,uniprot
CCL3,CCR5,,,InnateDB-All,uniprot
CCL4,CCR5,,,InnateDB-All,uniprot
CCL5,CCR1,,,InnateDB-All,uniprot
CCL5,CCR3,,,InnateDB-All,uniprot
CCL5,CCR5,,,InnateDB-All,uniprot
CCL7,CCR1,,,InnateDB-All,uniprot
CCL7,CCR3,,,InnateDB-All,uniprot
CCL7,CCR2,,,InnateDB-All,uniprot
CCL8,CCR3,,,InnateDB-All,uniprot
CD160,TNFRSF14,,,InnateDB-All,uniprot
CD274,PDCD1,,,InnateDB-All,uniprot
CD274,CD80,,,InnateDB-All,uniprot
CD2,CD48,,,InnateDB-All,uniprot
CD244,CD48,,,InnateDB-All,uniprot
CD70,CD27,,,InnateDB-All,uniprot
CD80,CD28,,,InnateDB-All,uniprot
CD80,CTLA4,,,InnateDB-All,uniprot
CD84,CD84,,,InnateDB-All,uniprot
CD86,CD28,,,InnateDB-All,uniprot
CD86,CTLA4,,,InnateDB-All,uniprot
CSF1,CSF1R,,,InnateDB-All,uniprot
CX3CL1,CX3CR1,,,InnateDB-All,uniprot
CXCL1,CXCR1,,,InnateDB-All,uniprot
CXCL1,CXCR2,,,InnateDB-All,uniprot
CXCL10,CXCR3,,,InnateDB-All,uniprot
CXCL11,CXCR3,,,InnateDB-All,uniprot
CXCL12,CXCR4,,,InnateDB-All,uniprot
CXCL13,CXCR5,,,InnateDB-All,uniprot
CXCL2,CXCR2,,,InnateDB-All,uniprot
CXCL3,CXCR2,,,InnateDB-All,uniprot
CXCL5,CXCR2,,,InnateDB-All,uniprot
CXCL6,CXCR1,,,InnateDB-All,uniprot
CXCL6,CXCR2,,,InnateDB-All,uniprot
CXCL8,CXCR1,,,InnateDB-All,uniprot
CXCL8,CXCR2,,,InnateDB-All,uniprot
CXCL9,CXCR3,,,InnateDB-All,uniprot
EPO,EPOR,,,InnateDB-All,uniprot
FASLG,FAS,,,InnateDB-All,uniprot
FASLG,TNFRSF6B,,,InnateDB-All,uniprot
FLT3LG,FLT3,,,InnateDB-All,uniprot
HAVCR1,HAVCR1,,,InnateDB-All,uniprot
ICOSLG,CD28,,,InnateDB-All,uniprot
ICOSLG,ICOS,,,InnateDB-All,uniprot
ICOSLG,CTLA4,,,InnateDB-All,uniprot
KITLG,KIT,,,InnateDB-All,uniprot
LGALS9,HAVCR2,,,InnateDB-All,uniprot
LTA,TNFRSF1A,,,InnateDB-All,uniprot
LTA,TNFRSF14,,,InnateDB-All,uniprot
LY9,LY9,,,InnateDB-All,uniprot
MSMB,MST1R,,,InnateDB-All,uniprot
NECTIN1,CD96,,,InnateDB-All,uniprot
NECTIN2,CD226,,,InnateDB-All,uniprot
NECTIN2,TIGIT,,,InnateDB-All,uniprot
NECTIN3,TIGIT,,,InnateDB-All,uniprot
PDCD1LG2,PDCD1,,,InnateDB-All,uniprot
PF4,CXCR3,,,InnateDB-All,uniprot
PPBP,CXCR2,,,InnateDB-All,uniprot
PVR,TIGIT,,,InnateDB-All,uniprot
PVR,CD96,,,InnateDB-All,uniprot
SLAMF1,SLAMF1,,,InnateDB-All,uniprot
SLAMF6,SLAMF6,,,InnateDB-All,uniprot
SLAMF7,SLAMF7,,,InnateDB-All,uniprot
TGFB1,TGFBR1,,,InnateDB-All,uniprot
TGFB2,TGFBR2,,,InnateDB-All,uniprot
TGFB3,TGFBR3,,,InnateDB-All,uniprot
TIMD4,HAVCR1,,,InnateDB-All,uniprot
TNFSF10,TNFRSF10A,,,InnateDB-All,uniprot
TNFSF10,TNFRSF10B,,,InnateDB-All,uniprot
TNFSF10,TNFRSF10C,,,InnateDB-All,uniprot
TNFSF10,TNFRSF10D,,,InnateDB-All,uniprot
TNFSF11,TNFRSF11A,,,InnateDB-All,uniprot
TNFSF11,TNFRSF11B,,,InnateDB-All,uniprot
TNFSF11,TNFRSF10C,,,InnateDB-All,uniprot
TNFSF12,TNFRSF25,,,InnateDB-All,uniprot
TNFSF12,TNFRSF10D,,,InnateDB-All,uniprot
TNFSF13,TNFRSF13B,,,InnateDB-All,uniprot
TNFSF13,TNFRSF17,,,InnateDB-All,uniprot
TNFSF13B,TNFRSF17,,,InnateDB-All,uniprot
TNFSF13B,TNFRSF13B,,,InnateDB-All,uniprot
TNFSF13B,TNFRSF13C,,,InnateDB-All,uniprot
TNFSF14,LTBR,,,InnateDB-All,uniprot
TNFSF14,TNFRSF14,,,InnateDB-All,uniprot
TNFSF14,TNFRSF6B,,,InnateDB-All,uniprot
TNFSF15,TNFRSF25,,,InnateDB-All,uniprot
TNFSF15,TNFRSF6B,,,InnateDB-All,uniprot
TNFSF18,TNFRSF18,,,InnateDB-All,uniprot
TNFSF4,TNFRSF4,,,InnateDB-All,uniprot
TNFSF8,TNFRSF8,,,InnateDB-All,uniprot
TNFSF9,TNFRSF9,,,InnateDB-All,uniprot
XCL1,XCR1,,,InnateDB-All,uniprot
XCL2,XCR1,,,InnateDB-All,uniprot
