channel,desc,marker
Y89Di,89Y_CD45,CD45
Cd111Di,111Cd_CD8,CD8
Cd112Di,112Cd_HLA_DR,HLA-DR
Cd113Di,113Cd_CD20,CD20
Cd114Di,114Cd_CD57,CD57
Cd116Di,116Cd_CD4,CD4
Pr141Di,141Pr_CCR6,CCR6
Nd142Di,142Nd_EQ2_LEF1,LEF1
Nd143Di,143Nd_CD123,CD123
Nd144Di,144Nd_CD24,CD24
Nd145Di,145Nd_CCL5,CCL5
Sm147Di,147Sm_CD11C,CD11C
Nd148Di,148Nd_CD127,CD127
Sm149Di,149Sm_CCR4,CCR4
Nd150Di,150Nd_CD25,CD25
Eu151Di,151Eu_EQ3_CCR7,CCR7
Eu153Di,153Eu_EQ4_CD45RA,CD45RA
Sm154Di,154Sm_CD3,CD3
Gd155Di,155Gd_CD279,CD279
Gd158Di,158Gd_CD27,CD27
Tb159Di,159Tb_FOXP3,FOXP3
Gd160Di,160Gd_T_bet,T-BET
Dy161Di,161Dy_CLEC9A,CLEC9A
Dy163Di,163Dy_CXCR3,CXCR3
Dy164Di,164Dy_CD38,CD38
Ho165Di,165Ho_EQ5_CD45RO,CD45RO
Er166Di,166Er_CD1C,CD1C
Er167Di,167Er_GATA3,GATA3
Er168Di,168Er_KI_67,KI67
Er170Di,170Er_CTLA_4,CTLA4
Yb171Di,171Yb_GZMB,GZMB
Yb172Di,172Yb_CD19,CD19
Yb173Di,173Yb_MZB1,MZB1
Yb174Di,174Yb_GZMK,GZMK
Lu175Di,175Lu_EQ6_CD14,CD14
Yb176Di,176Yb_EQ7_CD56,CD56
Bi209Di,209Bi_CD16,CD16
Sm152Di,152Sm_ROR_rt,ROR-GT
